Country,srcYear,srcCalendarDay,ASI Monuments,Number of Tourists,YearCode,Year,DayCode,CalendarDay
India,2019,13-Aug-2019,Taj Mahal,16201,2019,"Financial Year (Apr - Mar), 2019",20190813,2019-08-13
India,2019,13-Aug-2019,Agra Fort,5205,2019,"Financial Year (Apr - Mar), 2019",20190813,2019-08-13
India,2019,13-Aug-2019,Qutub Minar,6634,2019,"Financial Year (Apr - Mar), 2019",20190813,2019-08-13
India,2019,13-Aug-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190813,2019-08-13
India,2019,14-Aug-2019,Agra Fort,4876,2019,"Financial Year (Apr - Mar), 2019",20190814,2019-08-14
India,2019,14-Aug-2019,Taj Mahal,14847,2019,"Financial Year (Apr - Mar), 2019",20190814,2019-08-14
India,2019,14-Aug-2019,Qutub Minar,6478,2019,"Financial Year (Apr - Mar), 2019",20190814,2019-08-14
India,2019,14-Aug-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190814,2019-08-14
India,2019,15-Aug-2019,Qutub Minar,10509,2019,"Financial Year (Apr - Mar), 2019",20190815,2019-08-15
India,2019,15-Aug-2019,Taj Mahal,16862,2019,"Financial Year (Apr - Mar), 2019",20190815,2019-08-15
India,2019,15-Aug-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190815,2019-08-15
India,2019,15-Aug-2019,Agra Fort,6225,2019,"Financial Year (Apr - Mar), 2019",20190815,2019-08-15
India,2019,16-Aug-2019,Agra Fort,8861,2019,"Financial Year (Apr - Mar), 2019",20190816,2019-08-16
India,2019,16-Aug-2019,Red Fort,10123,2019,"Financial Year (Apr - Mar), 2019",20190816,2019-08-16
India,2019,16-Aug-2019,Qutub Minar,9712,2019,"Financial Year (Apr - Mar), 2019",20190816,2019-08-16
India,2019,16-Aug-2019,Taj Mahal,0,2019,"Financial Year (Apr - Mar), 2019",20190816,2019-08-16
India,2019,17-Aug-2019,Agra Fort,7780,2019,"Financial Year (Apr - Mar), 2019",20190817,2019-08-17
India,2019,17-Aug-2019,Taj Mahal,23077,2019,"Financial Year (Apr - Mar), 2019",20190817,2019-08-17
India,2019,17-Aug-2019,Qutub Minar,8122,2019,"Financial Year (Apr - Mar), 2019",20190817,2019-08-17
India,2019,17-Aug-2019,Red Fort,10513,2019,"Financial Year (Apr - Mar), 2019",20190817,2019-08-17
India,2019,18-Aug-2019,Agra Fort,6733,2019,"Financial Year (Apr - Mar), 2019",20190818,2019-08-18
India,2019,18-Aug-2019,Red Fort,12460,2019,"Financial Year (Apr - Mar), 2019",20190818,2019-08-18
India,2019,18-Aug-2019,Qutub Minar,10712,2019,"Financial Year (Apr - Mar), 2019",20190818,2019-08-18
India,2019,18-Aug-2019,Taj Mahal,22365,2019,"Financial Year (Apr - Mar), 2019",20190818,2019-08-18
India,2019,19-Aug-2019,Red Fort,0,2019,"Financial Year (Apr - Mar), 2019",20190819,2019-08-19
India,2019,19-Aug-2019,Agra Fort,4475,2019,"Financial Year (Apr - Mar), 2019",20190819,2019-08-19
India,2019,19-Aug-2019,Taj Mahal,14832,2019,"Financial Year (Apr - Mar), 2019",20190819,2019-08-19
India,2019,19-Aug-2019,Qutub Minar,6367,2019,"Financial Year (Apr - Mar), 2019",20190819,2019-08-19
India,2019,20-Aug-2019,Qutub Minar,6261,2019,"Financial Year (Apr - Mar), 2019",20190820,2019-08-20
India,2019,20-Aug-2019,Red Fort,9293,2019,"Financial Year (Apr - Mar), 2019",20190820,2019-08-20
India,2019,20-Aug-2019,Taj Mahal,14498,2019,"Financial Year (Apr - Mar), 2019",20190820,2019-08-20
India,2019,20-Aug-2019,Agra Fort,4668,2019,"Financial Year (Apr - Mar), 2019",20190820,2019-08-20
India,2019,21-Aug-2019,Agra Fort,5696,2019,"Financial Year (Apr - Mar), 2019",20190821,2019-08-21
India,2019,21-Aug-2019,Red Fort,8343,2019,"Financial Year (Apr - Mar), 2019",20190821,2019-08-21
India,2019,21-Aug-2019,Taj Mahal,17247,2019,"Financial Year (Apr - Mar), 2019",20190821,2019-08-21
India,2019,21-Aug-2019,Qutub Minar,8431,2019,"Financial Year (Apr - Mar), 2019",20190821,2019-08-21
